matchNum,allianceStationID,team,teamMatchNum,scoutingStatusID,preNoShow,preStartPosID,autoLeave,autoL4,autoL3,autoL2,autoL1,autoMissL4,autoMissL3,autoMissL2,autoMissL1,autoAlgaeRmv,autoProcessor,autoBarge,autoMarkCoral,autoMarkAlgae,autoMarkMiss,autoCoralStation1,autoCoralStation2,autoMissProcessor,autoMissBarge,teleL4,teleL3,teleL2,teleL1,teleMissL4,teleMissL3,teleMissL2,teleMissL1,teleAlgaeRmv,teleProcessor,teleBarge,teleMissProcessor,teleMissBarge,teleOppProcessor,teleOppCoral,teleOppAlgae,teleCoralStation1,teleCoralStation2,teleCoralGround,climbStatusID,climbTime,postOppCage,postSubBroke,postBreakDown,postDefense,postWasDefended,postGroundPick,postStationPick,postShotAlgae
1,1,7407,1,1.0,0.0,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,3,1,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,5142,1,1.0,0.0,3.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3,10245,1,1.0,0.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,4,1350,1,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,5,2170,1,1.0,0.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,6,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,6,9193,1,1.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,6.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1,228,1,1.0,0.0,2.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,2,4987,1,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,3,6333,1,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,4,155,1,1.0,0.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
