matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
1,1,3654,1,0.0,3.0,1,0,0,,,9,5,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,6895,1,0.0,2.0,0,0,0,,,0,0,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
1,3,1100,1,0.0,5.0,0,0,0,,,72,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
1,4,1991,1,0.0,5.0,0,0,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,5,8567,1,0.0,2.0,0,0,0,,,0,6,0,0,0,5.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0
1,6,10910,1,0.0,1.0,0,0,0,,,0,0,2,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1027,1,1.0,2.0,0,1,0,,,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0
2,2,4176,1,0.0,5.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
2,3,3146,1,0.0,3.0,10,1,0,,,56,4,0,0,0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,4,177,1,0.0,5.0,5,2,0,,,0,2,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
2,5,230,1,0.0,1.0,10,3,0,1.0,5.0,48,2,0,0,0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1
2,6,8709,1,0.0,3.0,8,1,0,,,7,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
3,1,9101,1,0.0,1.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,2,839,1,0.0,5.0,0,1,0,,,65,3,3,0,0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
3,3,429,1,0.0,3.0,0,1,0,,,30,2,5,1,0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
3,4,2170,1,0.0,5.0,0,1,0,,,10,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3
3,5,9710,1,1.0,,0,0,0,,,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0
3,6,571,1,0.0,1.0,14,3,0,,,2,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
4,1,5142,1,0.0,4.0,0,1,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0
4,2,3461,1,0.0,5.0,0,1,0,,,0,0,0,0,0,5.0,,,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0
4,3,1740,1,0.0,1.0,0,1,0,4.0,,0,1,0,1,1,5.0,,,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0,0
4,4,176,1,0.0,1.0,50,3,0,,,132,2,1,0,0,5.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,5
4,5,178,1,0.0,3.0,0,1,0,,,10,0,0,0,0,5.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
4,6,4034,1,0.0,5.0,0,1,0,,,0,1,0,0,0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,0
5,1,237,1,0.0,1.0,0,2,0,,,36,5,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,2,181,1,1.0,3.0,0,1,0,,,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0
5,3,10592,1,0.0,3.0,5,1,0,,,12,2,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,4,173,1,0.0,5.0,0,1,0,,,34,4,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,5,236,1,0.0,1.0,12,3,0,,,25,0,0,0,0,5.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,6,6346,1,0.0,4.0,18,2,0,,,26,3,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,1,7153,1,0.0,4.0,0,1,0,1.0,2.0,5,2,0,0,0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,2,195,1,0.0,1.0,25,5,0,,,0,0,0,0,0,5.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,3,7694,1,0.0,3.0,8,1,0,,,50,4,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
