match,R1,R2,R2,B1,B2,B3
qm1,4909,1831,2648,172,5813,1922
qm2,190,133,3467,58,166,3323
qm3,4546,4925,131,2370,319,7133
qm4,157,4564,238,5687,1073,1519
qm5,6328,501,1721,3623,1729,4761
qm6,166,172,6762,9996,4925,238
qm7,133,319,4761,2648,1519,1729
qm8,3323,5687,2370,501,4564,1831
qm9,3467,3623,58,6762,5813,4546
qm10,4909,131,9996,1073,1721,190
qm11,7133,1922,3467,172,6328,157
qm12,4564,3323,1729,1519,4909,6762
qm13,131,4761,1922,58,9996,5687
qm14,319,2648,157,2370,1721,166
qm15,5813,190,6328,238,4546,501
qm16,4925,7133,1073,1831,3623,133
qm17,4564,1519,172,131,166,6328
qm18,4925,58,5813,1721,157,3323
qm19,7133,5687,6323,319,190,9996
qm20,1073,6762,501,1922,4546,2648
qm21,238,2370,133,4761,3467,4909
qm22,1831,1073,58,1729,6328,319
qm23,1519,7133,166,5813,501,4909
qm24,1729,1922,2370,3323,238,3623
qm25,1721,172,4546,4564,133,5687
qm26,157,4761,1831,6762,131,190
qm27,2648,9996,4564,1519,3467,4925
