match,R1,R2,R2,B1,B2,B3
qm1,7598,126,4028,56,5672,3339
qm2,3538,1114,2834,7515,7590,302
qm3,987,173,3211,1241,1807,20
qm4,7886,5509,226,5530,48,314
qm5,2998,1610,279,5987,2224,461
qm6,5865,1756,177,3654,2767,6090
qm7,78,2851,7553,237,7539,5847
qm8,107,1519,11,4213,2607,4285
qm9,303,967,4296,195,230,1073
qm10,1684,3655,193,329,494,5914
qm11,3656,2056,3102,1360,401,1501
qm12,1023,5987,7539,7039,226,5865
qm13,7515,237,1756,5847,2224,2607
qm14,107,279,314,5672,3654,5530
qm15,6090,4296,173,2998,3538,11
qm16,1360,7553,494,1114,329,1241
qm17,1807,193,1023,2767,2834,1684
qm18,1073,5509,7039,4285,7598,1501
qm19,1610,7886,56,303,78,3102
qm20,302,3656,177,3655,20,126
qm21,2056,1519,2851,4028,967,48
qm22,461,4213,230,401,3339,987
qm23,1360,7590,5914,3211,195,2767
qm24,193,1241,2834,226,7598,3538
qm25,7539,7039,107,314,1610,126
qm26,329,48,303,1756,5987,173
qm27,6090,1114,2998,987,3102,5530
qm28,3654,1501,1807,967,461,3655
qm29,11,4296,3656,1023,7515,5672
qm30,2607,7553,195,5509,177,279
qm31,7590,2851,401,1073,56,1684
qm32,4213,20,5914,2056,7886,2224
qm33,3339,1519,302,78,3211,237
qm34,4028,5847,230,5865,4285,494
qm35,329,967,1023,7598,3102,2607
qm36,1610,7553,193,314,1756,7590
qm37,126,3654,7886,401,2767,11
qm38,303,279,7539,3211,3656,7515
qm39,5509,1807,5865,237,1360,2998
qm40,195,3538,3339,4285,20,2851
qm41,107,5847,1501,48,1114,987
qm42,1241,302,4296,1684,4028,5987
qm43,78,2056,2834,494,5530,177
qm44,7039,5672,5914,6090,461,1519
qm45,2224,3655,230,56,173,226
qm46,4213,195,7515,1073,193,126
qm47,7886,1684,987,1610,5865,967
qm48,3211,494,48,3102,2998,3654
qm49,7598,177,7039,4296,2851,1114
qm50,1241,56,2224,1501,6090,3339
qm51,7553,4285,5987,5530,461,3656
qm52,1756,1519,1073,230,7539,1360
qm53,173,11,7590,2056,107,5509
qm54,5847,329,4213,226,302,2767
qm55,5914,314,3538,2607,78,1807
qm56,3655,4028,401,279,1023,237
qm57,5672,2998,303,2834,7039,20
qm58,11,177,2224,193,230,3102
qm59,5530,967,2767,7539,1610,1241
qm60,3654,3339,4213,5987,7590,2607
qm61,48,78,401,7515,7598,3655
qm62,314,1360,2056,4296,2834,5847
qm63,226,1501,5672,2851,1807,195
qm64,126,1684,237,1114,4285,173
qm65,987,3656,279,1519,3538,329
qm66,7886,1073,6090,7553,3211,4028
qm67,56,5865,303,302,5914,107
qm68,1756,494,5509,20,1023,461
qm69,1241,2607,5530,7039,401,5847
qm70,2767,237,5987,230,5672,7598
qm71,3339,7515,1360,173,177,7886
qm72,987,5914,2834,3654,1073,7553
qm73,2056,6090,7539,193,302,461
qm74,1519,303,1114,3655,2851,5509
qm75,2224,2998,5865,78,7590,3656
qm76,107,226,20,3102,279,4296
qm77,967,56,4285,3211,314,329
qm78,4028,195,1610,1807,11,48
qm79,1501,494,1684,4213,3538,1756
qm80,2998,126,1241,1023,303,2056
qm81,173,3654,193,2851,5847,3656
qm82,3655,3102,1073,3339,314,2767
qm83,4285,329,1807,7539,2224,401
qm84,56,237,195,494,987,7039
qm85,7590,1501,4296,5530,126,1519
qm86,5987,5509,967,5914,6090,7515
qm87,3538,1023,3211,177,107,1610
qm88,20,48,5672,7553,4213,5865
qm89,461,1684,1360,4028,226,78
qm90,2834,7598,302,2607,230,7886
qm91,1114,11,967,279,1756,3339
qm92,5509,987,3654,4296,7539,193
qm93,2767,107,3538,2224,7039,7553
qm94,177,314,237,1501,303,4213
qm95,5847,7886,7598,195,2998,3655
qm96,401,302,494,5672,173,1610
qm97,461,3211,2834,5865,11,329
qm98,20,5530,56,1519,7515,1684
qm99,3102,5914,226,3656,4028,1756
qm100,279,2607,2851,126,1360,6090
qm101,230,48,4285,7590,1241,1023
qm102,1073,5987,78,1807,2056,1114
qm103,11,7598,3654,1684,303,7553
qm104,3102,4213,4028,2834,173,7539
qm105,237,193,20,967,1360,107
qm106,177,3339,226,5914,401,2998
qm107,126,5987,3211,3538,5847,5509
qm108,1610,7515,78,329,230,1501
qm109,1756,987,5672,4285,3655,2056
qm110,302,5530,1023,2851,1073,2224
qm111,1114,5865,314,195,1241,1519
qm112,494,279,1807,7886,7039,7590
qm113,461,2767,2607,48,4296,56
qm114,3656,2834,107,6090,1610,7598
