match,R1,R2,R2,B1,B2,B3
qm1,2084,7795,5556,3958,95,4909
qm2,7822,4929,2262,2876,6161,2713
qm3,4169,5735,4906,1474,1761,5752
qm4,5265,2648,238,4761,157,1027
qm5,5962,4905,23,5459,1289,5563
qm6,1757,3930,1073,6153,2423,501
qm7,1474,2713,4311,7438,7795,5265
qm8,4905,4909,1027,5752,4929,5962
qm9,2262,5735,3930,5556,6153,238
qm10,4906,1757,2648,7438,5459,1073
qm11,23,4169,157,95,6161,7822
qm12,2876,2084,501,1761,2423,4311
qm13,5265,1289,3958,2713,4761,5563
qm14,5459,2262,1027,1073,4169,7795
qm15,4906,5962,2423,5735,4311,157
qm16,2084,7822,6153,238,1474,7438
qm17,1761,501,95,4929,4905,3958
qm18,5752,2648,1289,3930,23,2876
qm19,5563,4909,5556,6161,1757,4761
qm20,238,1073,3958,5735,2713,1761
qm21,5962,7795,157,2262,4169,7438
qm22,2084,5265,4761,501,4929,3930
qm23,95,5563,1474,5459,4311,4905
qm24,2876,4909,4906,6153,2648,6161
qm25,5556,1027,5752,7822,1289,1757
qm26,23,3958,5735,2423,5265,4169
qm27,4906,4761,6153,2084,5563,4905
qm28,5556,95,1289,7438,501,5752
qm29,238,1761,4909,23,1757,5459
qm30,3930,7822,157,4311,2262,1073
qm31,6161,4929,1474,7795,1027,2876
qm32,2648,5962,2084,95,2423,2713
qm33,501,4909,4761,157,4906,5459
qm34,4905,1073,2876,5735,7438,5556
qm35,1289,2262,1761,2423,1474,2648
qm36,3958,1027,6161,4311,23,6153
qm37,2713,5962,4169,4929,238,1757
qm38,7795,5752,3930,5563,7822,5265
qm39,6161,5735,4905,157,7438,2084
qm40,5556,2713,5459,1027,238,4906
qm41,3958,7822,2876,5265,3930,5962
qm42,1757,1474,501,2648,23,95
qm43,1289,2423,4929,6153,4169,5563
qm44,4909,4311,7795,1073,4761,5752
qm45,1761,157,5265,2262,4906,5556
qm46,5459,3930,6161,4905,1289,2713
qm47,7795,6153,1474,501,5962,7822
qm48,5752,5563,23,4929,1073,2084
qm49,7438,1027,2423,4169,3958,1761
qm50,4761,2876,5735,95,2262,1757
qm51,4311,238,3930,4909,2648,23
qm52,1073,6153,1289,3958,5459,2084
qm53,2423,5735,1757,4929,4906,7795
qm54,4311,2876,5752,501,2713,238
qm55,5563,1761,7438,1474,157,4909
qm56,2262,6161,5265,1027,95,5962
qm57,2648,4905,4761,7822,5556,4169
qm58,157,6153,4929,2713,23,7795
qm59,4909,7438,1289,3958,501,2262
qm60,1073,1761,7822,5265,2876,95
qm61,4906,2084,1474,1027,3930,4169
qm62,2648,5556,4311,5962,5563,5735
qm63,4761,5459,238,6161,5752,2423
qm64,1757,3958,2713,1474,4905,7822
qm65,4169,95,4929,6153,5265,4909
qm66,5563,6161,501,1027,1073,5735
qm67,2423,7795,5459,1761,2876,2648
qm68,1757,5556,157,1289,2084,4311
qm69,238,23,2262,4905,5752,4906
qm70,5962,7438,6161,3930,4761,1761
qm71,2713,5265,1027,4909,2084,2423
qm72,4169,501,4905,2876,5563,2262
qm73,7822,4311,7438,5735,5459,4929
qm74,5752,1757,6153,157,3958,2648
qm75,7795,238,95,3930,4906,1289
qm76,23,1474,1073,4761,5556,5962
