match,R1,R2,R2,B1,B2,B3
qm1,3236,2370,558,4761,88,2523
qm2,7869,716,5735,95,3958,7127
qm3,1768,173,5687,166,1474,4311
qm4,6329,176,4905,177,125,7416
qm5,1922,1073,6691,238,172,181
qm6,58,228,133,1735,509,4909
qm7,1071,237,230,3654,501,2168
qm8,195,5813,1721,178,69,7407
qm9,2877,7438,5422,78,1519,1277
qm10,3555,1058,3467,4041,1153,2067
qm11,6691,3146,5962,1729,319,3958
qm12,133,1735,125,177,1922,5687
qm13,95,3236,58,1071,181,1073
qm14,4311,195,238,2877,716,4761
qm15,7407,501,2067,7127,5735,7438
qm16,228,176,237,1721,3467,166
qm17,7416,69,1768,3654,3146,2370
qm18,173,4041,5962,5813,5422,2523
qm19,88,319,6329,178,1058,1519
qm20,7869,509,172,3555,1729,2168
qm21,4905,1153,1474,1277,4909,230
qm22,6691,5687,78,1073,7407,558
qm23,7127,177,3467,1922,1071,1768
qm24,5962,5735,1519,2370,195,237
qm25,1735,176,4041,173,3958,181
qm26,501,716,1729,6329,5422,4909
qm27,78,1474,88,1721,2168,2067
qm28,4311,2877,172,7416,95,166
qm29,7438,3555,4761,230,228,125
qm30,3146,1277,2523,178,3654,509
qm31,69,133,319,1153,58,7869
qm32,238,4905,3236,1058,558,5813
qm33,7407,7127,237,172,7416,1474
qm34,88,4909,3958,177,1071,7438
qm35,3654,2877,1735,1729,5962,4311
qm36,1519,58,2523,3467,6691,501
qm37,125,5813,238,7869,228,1277
qm38,1058,4761,6329,509,78,3146
qm39,1073,2168,176,558,1768,319
qm40,4905,5422,95,1922,178,195
qm41,716,3555,1153,3236,173,1721
qm42,166,181,5687,2067,230,69
qm43,133,4041,4909,2370,5735,238
qm44,6329,237,1735,7127,1277,6691
qm45,7869,4761,178,1474,1768,1073
qm46,2168,1058,228,1922,7416,3958
qm47,78,2523,3467,319,5687,195
qm48,177,3236,716,166,1519,509
qm49,558,133,1153,1071,5813,1729
qm50,4041,125,501,95,172,3654
qm51,58,2067,5422,3146,2877,176
qm52,7438,4311,1721,181,4905,5735
qm53,173,3555,7407,88,69,5962
qm54,230,166,1922,2370,3958,1073
qm55,2168,178,4041,1519,4909,1153
qm56,2523,2067,95,1729,133,4761
qm57,181,1474,7438,6329,558,195
qm58,1721,88,5687,5962,1277,58
qm59,3236,7416,3654,6691,7869,173
qm60,3467,4311,1071,230,238,7407
qm61,3555,2370,2877,4905,1735,7127
qm62,5735,177,319,5422,172,78
qm63,716,69,228,1058,237,3146
qm64,501,5813,509,176,1768,125
qm65,4909,1073,4311,2067,3958,1277
qm66,5687,7407,2370,95,2168,6329
qm67,58,166,558,5735,3555,195
qm68,1519,7127,133,3654,1058,88
qm69,1474,716,319,5813,3236,1922
qm70,78,7869,1071,173,178,1735
qm71,4041,1729,237,4905,1768,177
qm72,4761,228,501,1153,6691,69
qm73,230,7438,176,172,2523,5962
qm74,7416,1721,181,5422,238,509
qm75,3146,125,558,2877,3467,173
qm76,5813,177,1277,58,2370,1058
qm77,716,3654,166,319,78,4905
qm78,1768,2067,6329,172,3236,228
qm79,69,1721,5422,4311,133,2168
qm80,1153,2523,3958,237,181,125
qm81,7416,238,1073,1474,501,3555
qm82,230,2877,6691,88,7869,4041
qm83,509,95,1071,5962,7438,3467
qm84,1735,1922,1519,7407,4761,5735
qm85,5687,178,3146,176,7127,1729
qm86,195,172,166,4909,173,1058
qm87,3958,6329,78,133,1768,238
qm88,1277,558,509,319,95,230
qm89,2067,1735,5813,1519,237,7416
qm90,228,1071,3555,5422,4311,2370
qm91,5735,176,178,3236,125,69
qm92,4761,7127,181,5962,1721,177
qm93,4909,6691,4905,3467,5687,7869
qm94,195,3146,1729,501,88,1922
qm95,2168,58,1474,4041,7438,716
qm96,2523,3654,7407,1073,1153,2877
qm97,1058,230,1768,5422,1735,5735
qm98,3958,4761,5813,3555,5687,172
qm99,1729,177,95,228,2067,173
qm100,178,58,4909,558,4311,7416
qm101,238,6691,3654,166,2168,7438
qm102,319,1721,1922,1071,6329,2877
qm103,195,509,88,237,1073,7869
qm104,69,7127,78,2523,4041,3236
qm105,125,5962,1153,1474,1519,3146
qm106,7407,1277,4905,133,501,176
qm107,2370,3467,172,181,716,178
qm108,3958,3654,230,1721,6329,58
qm109,2168,319,7127,228,195,1735
qm110,4311,5735,6691,509,1474,177
qm111,1073,173,69,7438,4905,1519
qm112,1153,88,3146,176,238,95
qm113,5687,5422,133,237,3236,2877
qm114,2523,166,1071,4761,4041,7416
qm115,1277,181,501,1768,78,3555
qm116,558,5962,7869,2067,1922,716
qm117,4909,1729,2370,125,7407,1058
qm118,3467,1073,88,5813,6329,4311
qm119,238,4761,173,237,319,58
qm120,3958,166,5422,509,1153,7127
qm121,7438,7416,178,716,5962,133
qm122,125,4905,195,6691,1071,2067
qm123,181,230,177,3146,7407,5813
qm124,2877,95,1768,69,4909,3555
qm125,1735,7869,1058,501,2523,1721
qm126,5735,1729,3236,1277,3467,2168
qm127,2370,1922,1474,176,78,3654
qm128,172,1519,4041,5687,558,228
