match,R1,R2,R2,B1,B2,B3
qm1,7133,1058,6367,4958,319,6691
qm2,7674,6933,238,3597,1517,509
qm3,151,501,6324,3451,811,2342
qm4,4546,5902,885,7907,2370,7416
qm5,1757,6172,1512,1922,7212,7314
qm6,6895,1831,69,4034,1073,7126
qm7,5962,166,7416,1740,1350,1517
qm8,6933,7212,1512,2370,6324,2342
qm9,4034,319,7907,1073,3597,7133
qm10,4958,1757,7674,7314,5962,151
qm11,1831,6691,1058,166,3451,69
qm12,1922,885,509,501,6895,4546
qm13,811,6172,1740,238,7126,6367
qm14,5902,7133,2342,1350,7314,3597
qm15,1922,6691,5962,1058,6895,7907
qm16,4546,7212,7416,166,1512,4034
qm17,1073,1517,69,509,4958,3451
qm18,7126,1350,501,6933,6324,1740
qm19,238,319,6172,885,1831,151
qm20,7674,2370,5902,6367,1757,811
qm21,69,1740,4958,6933,4034,6895
qm22,238,1831,1922,2342,885,1512
qm23,2370,7314,7126,4546,5962,319
qm24,3451,7416,1757,7907,6172,166
qm25,1073,1350,1058,151,1517,811
qm26,7674,6367,7212,3597,6691,501
qm27,5902,3451,6324,7133,509,1831
qm28,151,7907,1740,6895,1512,238
qm29,6367,2342,1922,7212,4958,166
qm30,6324,1073,4546,501,69,5962
qm31,509,4034,2370,1058,7314,6933
qm32,1757,7126,6691,1350,7416,5902
qm33,885,3597,6172,811,7674,7133
qm34,319,7314,69,1517,2370,6367
qm35,7126,4546,2342,6691,151,1073
qm36,7133,6172,6895,1058,4958,6324
qm37,7907,238,3597,501,5902,166
qm38,1517,1757,7212,1831,6933,811
qm39,885,7674,3451,7416,4034,1740
qm40,509,5962,1350,1512,319,1922
qm41,3597,6895,5902,6172,2342,4958
qm42,6691,6324,238,7314,1757,1073
qm43,1350,3451,319,7674,7126,7907
qm44,1517,166,6933,4034,6367,885
qm45,1512,501,1058,7133,69,4546
qm46,7416,151,509,1831,7212,2370
qm47,811,1922,3597,1740,5962,1073
qm48,4034,3451,6691,238,885,1757
qm49,2342,7416,7314,69,1058,509
qm50,6933,1922,2370,7126,1740,7133
qm51,6367,4958,501,1350,1831,1512
qm52,1517,7907,4546,6172,7674,6324
qm53,5902,811,7212,319,6895,166
qm54,151,7133,3451,5962,6933,885
qm55,7314,6691,1517,7907,501,1831
qm56,3597,6367,7416,6324,1922,7126
qm57,319,1740,1058,7212,238,1350
qm58,2370,166,1073,6895,151,7674
qm59,2342,69,4034,5962,5902,6172
qm60,4958,811,1512,509,4546,1757
qm61,1073,1922,6895,6367,3451,7314
qm62,6172,501,4034,2370,151,319
qm63,166,1058,3597,1757,6324,5962
qm64,7907,1350,885,7212,69,7126
qm65,7416,7133,6933,811,4546,238
qm66,1831,5902,4958,1512,1517,7674
qm67,1740,509,6367,6691,2342,7907
qm68,69,238,151,1757,7133,1922
qm69,6324,1512,7314,885,811,319
qm70,4546,2370,1350,3451,3597,1831
qm71,166,509,7126,4958,4034,1517
qm72,7212,2342,6895,501,7416,7674
qm73,6172,1073,6933,6691,1740,5902
qm74,5962,7907,4958,1058,238,2370
qm75,151,4546,4034,6324,6367,1350
qm76,319,509,501,7416,7126,6172
qm77,1740,7674,1831,5902,1058,1922
qm78,1512,5962,7133,3451,1073,7212
qm79,6895,885,1517,2342,3597,1757
qm80,7314,166,811,69,6933,6691
