match,R1,R2,R2,B1,B2,B3
qm1,1922,1058,1729,3323,4546,213
qm2,319,131,166,1831,1247,5813
qm3,3467,4925,2342,151,6763,9996
qm4,238,501,7133,7907,811,138
qm5,4925,213,1519,5813,1073,131
qm6,501,1247,6763,238,1729,151
qm7,811,2342,7133,1831,3467,1058
qm8,3323,1073,7907,9996,138,319
qm9,1519,166,151,4546,1922,811
qm10,3323,238,1247,5813,3467,213
qm11,131,1729,138,2342,319,1922
qm12,166,9996,7907,1058,1519,6763
qm13,4546,7133,1831,1073,4925,501
qm14,131,151,3467,319,7907,1058
qm15,213,811,1831,6763,138,4546
qm16,5813,238,1519,2342,501,3323
qm17,7133,9996,4925,1729,166,1247
qm18,3467,6763,1073,1922,5813,501
qm19,811,3323,9996,213,7133,131
qm20,138,1519,1922,1247,1058,4925
qm21,1073,319,4546,166,2342,238
qm22,7907,151,5813,1729,1831,3323
