match,R1,R2,R2,B1,B2,B3
qm1,3623,1729,6763,2342,811,138
qm2,238,88,3467,5813,4905,3323
qm3,1073,1735,2262,126,172,509
qm4,348,1922,166,501,2876,131
qm5,1519,7407,78,1058,151,319
qm6,166,126,5813,348,4905,138
qm7,131,509,2342,811,1519,3323
qm8,1735,319,1729,2876,88,7407
qm9,1922,1073,3623,2262,3467,151
qm10,1058,78,501,6763,238,172
qm11,509,811,4905,319,7407,1922
qm12,172,166,151,2342,6763,88
qm13,1073,131,126,78,5813,1729
qm14,138,1058,2876,3323,501,2262
qm15,238,348,1519,3467,3623,1735
qm16,1922,2342,2876,88,126,1058
qm17,172,5813,501,319,3623,509
qm18,1729,2262,811,3467,78,166
qm19,151,138,131,4905,1735,238
qm20,7407,3323,348,6763,1519,1073
