match,R1,R2,R2,B1,B2,B3
qm1,7822,319,5265,133,1831,4905
qm2,7913,151,131,467,1729,8421
qm3,4929,1519,8046,6691,5633,1307
qm4,6763,7126,1058,4761,663,6933
qm5,501,811,6153,5902,7133,4909
qm6,6690,1512,1247,6161,3597,7416
qm7,1517,95,1831,5687,1058,3566
qm8,4905,811,6933,8421,131,6153
qm9,7913,1247,5265,4909,4929,6763
qm10,1729,7126,663,3566,8046,7416
qm11,7133,133,501,6161,151,1517
qm12,1512,467,95,3597,1307,1519
qm13,4761,5687,5902,5633,6690,7822
qm14,1517,6691,1729,319,6153,7913
qm15,1831,6161,4929,7126,467,6933
qm16,811,8046,5633,6690,6763,133
qm17,663,3566,131,1512,5265,5902
qm18,6691,7822,151,95,7416,1058
qm19,4761,8421,1519,5687,7133,4905
qm20,4909,3597,501,1247,319,1307
qm21,5902,6690,1729,6933,5265,133
qm22,7416,1519,5687,131,6161,4761
qm23,501,6691,663,319,467,3597
qm24,811,1247,6763,8421,95,8046
qm25,7822,6153,1512,151,1831,1058
qm26,7133,7913,1307,7126,3566,4905
qm27,1517,4909,319,4929,5633,131
qm28,95,6161,133,663,5902,8421
qm29,467,1519,1247,5265,1729,811
qm30,3566,6690,4909,7133,4929,7126
qm31,6153,4761,4905,3597,1512,6691
qm32,501,6763,8046,7822,5687,1831
qm33,7416,151,1307,6933,1517,5633
qm34,133,7913,3597,1058,131,5265
qm35,467,6153,3566,1519,6763,7822
qm36,8421,7416,6691,4909,6161,811
qm37,1058,4905,5902,319,8046,7126
qm38,1307,663,1512,1247,7133,1517
qm39,95,4761,4929,151,1729,501
qm40,5633,1831,7913,6690,6933,5687
qm41,4905,8421,1517,1519,5902,6691
qm42,7822,131,7133,1058,1247,4929
qm43,8046,1729,7913,501,5633,4761
qm44,5265,7126,6161,151,1512,319
qm45,3597,663,6153,1831,6933,4909
qm46,467,1307,5687,133,3566,811
qm47,6763,319,95,7416,6690,4761
qm48,8046,5902,151,7913,4909,1519
qm49,8421,1058,3597,1517,1307,3566
qm50,6161,5633,1729,663,7822,95
qm51,7126,131,811,1831,501,5265
qm52,6933,6691,1247,133,5687,1512
qm53,7133,6763,467,4905,7416,4929
qm54,6690,5265,8046,6153,1307,6161
qm55,1519,6933,1729,811,3597,7822
qm56,1058,4761,319,5902,4929,467
qm57,1831,8421,7133,95,5633,7126
qm58,663,1247,7416,4905,7913,501
qm59,6691,133,4909,1512,3566,6763
qm60,131,1517,5687,6153,151,6690
qm61,3597,5265,5633,4929,8421,7913
qm62,6933,95,7133,6691,8046,467
qm63,3566,319,1831,1247,133,4761
qm64,811,1058,6690,663,1517,1519
qm65,1512,7416,4909,5687,1729,6153
qm66,5902,7822,6161,1307,6763,131
qm67,7126,501,6690,1247,4905,151
qm68,8046,1058,663,811,7913,1512
qm69,5265,4909,467,4761,7822,1517
qm70,4929,6153,133,131,4905,95
qm71,3566,6933,8421,1519,501,319
qm72,151,7126,3597,6763,5687,6691
qm73,1307,5902,1831,1729,7133,7416
qm74,5633,1512,8421,6161,467,6690
qm75,131,501,6933,5265,95,6691
qm76,5687,4929,151,319,811,663
qm77,7416,1517,5902,8046,3597,7133
qm78,6763,4905,6161,1729,4909,1058
qm79,5633,1519,3566,6153,1831,1247
qm80,1307,133,7822,7913,4761,7126
