event,match,team,auto_low_hub,auto_bounce_out,auto_missed,auto_high_hub,taxi,human,teleop_low_hub,teleop_bounce_out,teleop_missed,teleop_high_hub,shoot_from_hub,shoot_from_field,shoot_from_outer_LP,shoot_from_wallLP,rung,defense,defended,fouls,techfouls,rank,scouter,comments
2022testarena,qm1,777,5,1,3,2,0,1,2,1,1,1,0,0,0,0,0,0,3,0,0,0,unknown,none
2022testarena,qm1,777,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,none
2022testarena,qm3,1234,3,3,3,3,0,0,3,3,3,3,1,0,1,0,3,3,3,3,3,3,Cam,Foul
2022testarena,qm1,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Alice,Just ones
2022testarena,qm2,6524,0,1,3,0,0,0,0,1,12,0,0,1,0,0,2,2,2,2,2,2,Bob,Lots of misses
2022testarena,qm3,1234,3,3,3,3,0,0,3,3,3,3,1,0,1,0,3,3,3,3,3,3,Cam,Foul
2022testarena,qm1,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Alice,Just ones
2022testarena,qm2,6524,0,1,3,0,0,0,0,1,12,0,0,1,0,0,2,2,2,2,2,2,Bob,Lots of misses
2022testarena,qm1,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022testarena,qm1,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022testarena,qm3,999,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
